year,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00,index,averagemwh
2018,5.16463,5.16463,5.16463,5.16463,5.16463,5.16463,5.16463,5.16463,5.16463,5.16463,5.16463,5.16463,5.16463,5.16463,5.16463,5.16463,5.16463,5.16463,5.16463,5.16463,5.27813,5.5619,5.5619,5.71325,6.35646,6.35646,6.35646,6.6024,6.84833,7.15102,7.5483,7.56722,7.60505,7.60505,7.98341,8.04017,8.11584,8.11584,8.21043,8.32394,8.45636,8.41853,8.51312,8.51312,8.62663,8.72122,8.62663,8.62663,8.62663,8.62663,8.62663,8.62663,8.92932,9.08066,8.94823,8.83473,9.08066,9.06174,8.85364,9.04282,8.74014,8.74014,8.74014,8.64554,8.74014,8.41853,8.4942,8.34286,8.04017,7.94558,7.71856,7.5483,7.5483,7.5483,7.51046,7.24561,6.94292,6.75374,6.75374,6.75374,6.75374,6.75374,6.50781,6.35646,6.35646,6.35646,6.09161,5.95918,5.95918,5.71325,5.58082,5.5619,5.5619,5.5619,5.5619,5.5619,0,6.932000412371131
2018,5.37272,5.16463,5.16463,5.16463,5.16463,5.16463,5.16463,5.16463,5.16463,5.16463,5.16463,5.16463,5.16463,5.16463,5.16463,5.16463,5.16463,5.16463,5.16463,5.16463,5.41056,5.5619,5.67541,5.9781,6.01594,6.22404,6.37538,6.58348,6.81049,6.96184,7.20777,7.47263,7.5483,7.60505,7.90774,8.00233,8.00233,8.24827,8.32394,8.39961,8.47528,8.75905,8.72122,8.79689,8.77797,8.83473,8.9104,8.74014,8.74014,8.74014,8.79689,8.74014,8.74014,8.64554,8.43745,8.58879,8.47528,8.39961,8.39961,8.39961,8.79689,8.56987,8.39961,8.22935,8.38069,8.2861,8.17259,8.00233,7.86991,7.60505,7.60505,7.49154,7.20777,7.20777,7.20777,7.16994,6.81049,6.81049,6.62131,6.41322,6.1862,6.35646,6.35646,6.09161,5.95918,5.95918,5.95918,5.95918,5.95918,5.65649,5.5619,5.5619,5.2403,5.16463,5.16463,5.16463,1,6.836017216494841
2018,5.16463,5.16463,5.16463,5.16463,5.16463,5.16463,5.16463,5.16463,5.16463,5.16463,5.16463,5.16463,5.16463,5.16463,5.16463,5.16463,5.16463,5.16463,5.16463,5.16463,5.31597,5.5619,5.5619,5.90243,6.07269,6.1862,6.41322,6.43213,7.05643,6.99968,7.24561,7.26453,7.28345,7.5483,7.66181,7.88882,8.05909,7.79423,7.9645,8.05909,8.05909,8.05909,8.05909,8.05909,8.05909,8.05909,8.05909,8.05909,8.05909,8.05909,8.05909,8.05909,8.21043,8.26718,8.34286,8.21043,8.17259,8.17259,8.17259,8.17259,8.21043,8.22935,7.86991,7.83207,7.92666,8.15368,7.83207,7.62397,7.43479,7.43479,7.43479,7.26453,7.03751,7.03751,7.03751,7.03751,6.7159,6.64023,6.46997,6.24295,6.24295,6.24295,6.24295,6.24295,6.24295,6.22404,5.84567,5.84567,5.84567,5.84567,5.54299,5.4484,5.4484,5.4484,5.4484,5.4484,2,6.670799072164949
2018,5.4484,5.14571,5.05112,5.05112,5.05112,5.05112,5.05112,5.05112,5.05112,5.05112,5.05112,5.05112,5.05112,5.05112,5.05112,5.05112,5.05112,5.05112,5.05112,5.05112,5.42948,5.61866,5.84567,5.88351,6.24295,6.24295,6.50781,6.7159,7.30236,7.43479,7.43479,7.43479,7.45371,7.64289,7.88882,7.92666,7.88882,7.88882,8.02125,8.34286,8.34286,8.34286,8.34286,8.34286,8.34286,8.34286,8.34286,8.34286,8.34286,8.02125,7.94558,8.02125,8.02125,8.09692,8.2861,8.2861,8.2861,8.2861,8.11584,7.92666,7.92666,7.88882,7.88882,8.17259,7.88882,7.88882,7.9645,7.88882,7.62397,7.49154,7.37804,7.09427,7.09427,7.09427,6.90509,7.03751,6.75374,6.75374,6.7159,6.35646,6.35646,6.35646,6.35646,6.35646,6.03486,5.95918,5.95918,5.95918,5.71325,5.5619,5.5619,5.5619,5.35381,5.16463,5.16463,5.16463,3,6.705486494845356
2018,5.16463,5.16463,5.16463,5.16463,5.16463,5.16463,5.16463,5.16463,5.16463,5.16463,5.16463,5.16463,5.16463,5.16463,5.16463,5.16463,5.16463,5.16463,5.16463,5.16463,5.33489,5.5619,5.65649,5.95918,6.1862,6.16728,6.3943,6.75374,6.924,7.15102,7.15102,7.15102,7.35912,7.60505,7.60505,7.86991,7.94558,8.00233,7.88882,8.24827,8.34286,8.34286,8.34286,8.34286,8.39961,8.39961,8.36177,8.34286,8.34286,8.34286,8.34286,8.22935,8.34286,8.34286,8.45636,8.55095,8.74014,8.66446,8.53204,8.45636,8.45636,8.39961,8.078,8.05909,8.05909,8.09692,8.05909,7.85099,7.62397,7.3402,7.26453,7.15102,6.99968,6.86725,6.86725,6.86725,6.65915,6.43213,6.14836,6.46997,6.46997,6.31863,6.07269,6.07269,6.01594,5.86459,5.67541,5.67541,5.67541,5.67541,5.67541,5.67541,5.27813,5.27813,5.29705,5.37272,4,6.74505082474227
2018,5.4484,5.16463,5.05112,5.05112,5.05112,5.05112,5.05112,5.05112,5.05112,5.05112,5.05112,5.20246,5.05112,5.05112,5.05112,5.05112,5.05112,5.05112,5.05112,5.05112,5.05112,5.05112,5.14571,5.10787,5.33489,5.4484,5.4484,5.63758,5.73217,5.84567,5.84567,5.84567,5.84567,5.84567,5.84567,5.88351,6.24295,6.24295,6.24295,6.24295,6.24295,6.24295,6.03486,6.01594,6.24295,6.24295,6.24295,6.24295,6.24295,6.24295,6.24295,5.88351,6.1862,6.24295,6.22404,6.29971,6.29971,6.29971,6.35646,6.29971,6.29971,6.29971,6.29971,6.29971,6.29971,6.29971,6.29971,6.11053,6.22404,5.90243,5.99702,6.03486,6.29971,6.29971,6.29971,6.29971,6.29971,5.95918,5.90243,5.90243,5.90243,5.90243,5.90243,5.90243,5.90243,5.54299,5.63758,5.61866,5.5619,5.50515,5.50515,5.50515,5.50515,5.46731,5.10787,5.10787,6,5.763988041237113
2018,5.10787,5.22138,5.29705,5.10787,5.2403,5.29705,5.10787,5.10787,5.10787,5.10787,5.10787,5.10787,5.10787,5.10787,5.10787,5.10787,5.16463,5.37272,5.39164,5.50515,5.50515,5.50515,5.82676,6.03486,6.58348,6.69699,6.69699,7.15102,7.41587,7.5483,7.5483,7.7564,7.94558,7.94558,7.9645,8.15368,8.32394,8.34286,8.2861,8.22935,8.19151,8.22935,8.45636,8.30502,8.13476,8.34286,8.38069,8.17259,8.45636,8.26718,8.05909,8.05909,8.05909,8.05909,8.05909,8.05909,8.17259,8.26718,8.39961,8.11584,8.05909,8.05909,8.05909,8.078,7.9645,8.00233,7.66181,7.66181,7.66181,7.5483,7.26453,7.26453,7.01859,6.86725,6.86725,6.86725,6.7159,6.46997,6.46997,6.46997,6.46997,6.46997,6.1862,6.24295,6.24295,6.14836,5.84567,5.84567,5.84567,5.84567,5.84567,5.61866,5.4484,5.4484,5.4484,5.4484,7,6.82395577319588
2018,5.4484,5.4484,5.4484,5.4484,5.4484,5.35381,5.05112,5.05112,5.16463,5.4484,5.4484,5.4484,5.4484,5.4484,5.22138,5.42948,5.4484,5.4484,5.4484,5.4484,5.58082,5.84567,5.84567,6.01594,6.24295,6.6024,6.77266,7.03751,7.30236,7.49154,7.64289,7.88882,7.88882,8.078,8.2861,8.15368,8.05909,8.00233,7.94558,8.00233,8.17259,8.36177,8.51312,8.2861,8.2861,8.56987,8.2861,8.2861,8.2861,8.30502,8.30502,8.22935,8.22935,8.22935,8.22935,8.22935,8.22935,8.24827,8.2861,8.22935,8.22935,8.22935,8.22935,8.00233,8.17259,7.98341,8.02125,7.83207,7.73748,7.62397,7.43479,7.37804,7.37804,7.03751,7.11318,6.98076,6.75374,6.58348,6.58348,6.58348,6.22404,6.1862,6.35646,6.1862,6.1862,5.95918,5.78892,5.78892,5.78892,5.78892,5.78892,5.59974,5.39164,5.39164,5.39164,5.39164,8,6.898235463917526
2018,5.39164,5.39164,5.39164,5.35381,5.12679,5.39164,5.39164,5.39164,5.39164,5.39164,5.27813,5.14571,5.39164,5.16463,5.39164,5.39164,5.31597,5.39164,5.39164,5.39164,5.52407,5.84567,5.95918,6.1862,6.45105,6.58348,6.88617,7.09427,7.37804,7.49154,7.69964,7.77532,7.77532,8.17259,8.17259,8.17259,8.17259,8.17259,8.15368,8.09692,8.39961,8.56987,8.56987,8.45636,8.56987,8.56987,8.56987,8.56987,8.30502,8.22935,8.34286,8.4942,8.60771,8.51312,8.39961,8.47528,8.51312,8.51312,8.2861,8.11584,8.22935,8.19151,8.17259,8.17259,8.17259,8.17259,7.86991,7.77532,7.60505,7.43479,7.37804,7.20777,6.98076,6.98076,6.98076,6.98076,6.62131,6.58348,6.58348,6.33754,6.35646,6.45105,6.35646,6.1862,6.1862,5.82676,5.78892,5.82676,5.84567,5.84567,5.5619,5.4484,5.4484,5.4484,5.31597,5.37272,9,6.931947525773197
2018,5.22138,5.05112,5.05112,5.05112,5.05112,5.05112,5.05112,5.05112,5.05112,5.05112,5.05112,5.05112,5.05112,5.05112,5.05112,5.05112,5.05112,5.18354,5.2403,5.25922,5.52407,5.84567,5.84567,5.90243,6.24295,6.48889,6.7159,7.03751,7.35912,7.60505,7.66181,7.83207,7.83207,7.9645,7.98341,8.22935,8.17259,8.09692,8.32394,8.26718,8.24827,8.22935,8.22935,8.2861,8.32394,8.2861,8.22935,8.22935,8.22935,8.22935,8.22935,8.4942,8.47528,8.43745,8.43745,8.62663,8.62663,8.62663,8.53204,8.22935,8.22935,8.00233,7.83207,7.94558,7.90774,7.88882,7.85099,7.69964,7.49154,7.49154,7.49154,7.26453,6.90509,7.09427,6.98076,7.09427,6.84833,6.69699,6.52672,6.29971,6.29971,6.29971,6.29971,6.29971,6.29971,6.24295,5.90243,5.90243,5.90243,5.90243,5.61866,5.50515,5.50515,5.50515,5.50515,5.46731,10,6.864830721649482
