year,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00,index,averagemwh
2020,5.22238,5.22238,5.22238,5.22238,5.22238,5.27914,5.27914,5.22238,5.22238,5.22238,5.22238,5.22238,5.22238,5.22238,4.88179,4.82502,5.05208,5.22238,5.22238,5.22238,5.22238,5.22238,5.22238,5.58189,5.92248,6.41444,6.41444,6.67935,6.8118,6.84964,7.13347,7.36053,7.53082,7.66327,8.00386,7.87141,8.11739,8.11739,8.11739,8.11739,8.42014,8.19308,8.11739,8.43906,8.3823,8.62828,8.70396,8.51475,8.51475,8.51475,8.77965,8.57151,8.9121,8.96887,9.10132,8.96887,9.10132,8.9121,8.93102,8.9121,8.79857,8.9121,8.60936,8.51475,8.66612,8.53367,8.45798,8.45798,8.23092,8.06063,8.06063,7.79572,7.66327,7.66327,7.66327,7.64435,7.39837,7.13347,6.92533,6.92533,6.92533,6.92533,6.56582,6.52797,6.52797,6.45229,6.13062,6.3766,6.13062,6.13062,6.13062,5.99817,5.9414,5.73326,5.73326,5.73326,0,6.965902268041239
2020,5.73326,5.73326,5.73326,5.73326,5.73326,5.73326,5.73326,5.73326,5.73326,5.63865,5.73326,5.73326,5.6765,5.33591,5.35483,5.71434,5.56297,5.44944,5.46836,5.79003,5.79003,5.79003,5.9414,6.07385,6.43336,6.88748,6.98209,7.19023,7.37945,7.62543,7.83357,7.85249,7.83357,8.11739,8.23092,8.3823,8.32553,8.53367,8.62828,8.57151,8.62828,8.72289,9.02563,9.04455,9.42299,9.42299,9.42299,9.42299,9.15808,9.25269,9.42299,9.42299,9.74466,9.63113,9.49867,9.47975,9.40407,9.27161,9.06348,9.02563,9.02563,8.87426,8.72289,8.68504,9.0824,8.74181,8.68504,8.6472,8.28769,8.28769,8.15524,7.90925,7.89033,7.89033,7.73896,7.54974,7.247,7.09562,7.09562,7.09562,7.09562,6.92533,6.69827,6.69827,6.69827,6.6415,6.56582,6.31983,6.30091,6.30091,6.30091,5.99817,5.90356,5.90356,5.90356,5.90356,1,7.348597319587633
2020,5.90356,5.90356,5.56297,5.56297,5.5062,5.5062,5.5062,5.5062,5.5062,5.5062,5.5062,5.5062,5.5062,5.5062,5.5062,5.5062,5.5062,5.5062,5.5062,5.5062,5.6765,5.90356,5.90356,6.14954,6.47121,6.69827,6.71719,7.09562,7.36053,7.56866,7.89033,7.98494,8.17416,8.34445,8.60936,8.70396,8.68504,8.74181,8.79857,9.06348,8.98779,9.13916,9.13916,9.13916,9.12024,8.94995,8.81749,8.74181,8.74181,8.74181,8.6472,8.6472,8.43906,8.72289,8.74181,8.62828,8.68504,8.74181,8.53367,8.51475,8.4769,8.49583,8.60936,8.4769,8.34445,8.3823,8.34445,8.13631,8.09847,7.89033,7.79572,7.49298,7.49298,7.49298,7.49298,7.43621,7.19023,7.09562,6.92533,6.83072,6.69827,6.69827,6.69827,6.31983,6.30091,6.30091,5.88464,5.96032,5.96032,5.96032,5.63865,5.56297,5.56297,5.56297,5.56297,5.56297,2,7.135357731958761
2020,5.56297,5.56297,5.56297,5.56297,5.56297,5.56297,5.18454,5.16561,5.16561,5.2413,5.56297,5.18454,5.16561,5.16561,5.16561,5.16561,5.16561,5.16561,5.16561,5.16561,5.16561,5.16561,5.16561,5.16561,5.27914,5.56297,5.56297,5.56297,5.56297,5.56297,5.56297,5.56297,5.75218,5.96032,5.96032,5.96032,5.20346,5.90356,5.90356,5.90356,5.90356,5.90356,5.90356,5.90356,5.90356,5.90356,5.90356,5.90356,5.96032,6.14954,5.97924,5.90356,6.03601,6.26307,5.96032,6.05493,6.31983,5.96032,5.96032,5.96032,5.96032,5.96032,5.96032,5.96032,5.96032,6.18738,6.01709,5.96032,5.88464,5.96032,5.61973,5.96032,5.96032,5.69542,5.96032,5.96032,5.43052,5.44944,5.44944,5.44944,5.44944,5.44944,5.44944,5.44944,5.44944,5.41159,5.05208,5.05208,5.27914,5.05208,5.05208,5.05208,5.05208,5.05208,5.05208,5.05208,3,5.572437628865986
2020,5.05208,5.05208,5.05208,5.05208,5.05208,5.05208,5.05208,4.84395,4.65473,4.65473,4.65473,4.65473,4.86287,5.05208,5.05208,4.91963,4.65473,4.65473,4.65473,4.65473,5.05208,5.05208,5.05208,5.05208,5.12777,5.41159,5.2413,5.44944,5.61973,5.60081,5.44944,5.44944,5.44944,5.60081,5.84679,5.84679,5.84679,5.84679,5.84679,5.75218,5.84679,5.84679,5.84679,5.84679,5.84679,5.84679,5.84679,5.84679,5.84679,5.52512,5.65758,5.80895,5.84679,5.84679,5.84679,5.84679,5.84679,5.84679,5.58189,5.84679,5.84679,5.84679,5.84679,5.84679,5.84679,5.84679,5.84679,5.84679,5.84679,5.84679,5.84679,5.84679,5.84679,5.84679,5.84679,5.84679,5.84679,5.84679,5.73326,5.44944,5.44944,5.44944,5.44944,5.44944,5.44944,5.44944,5.44944,5.44944,5.44944,5.44944,5.43052,5.05208,5.05208,5.05208,5.05208,5.05208,4,5.45009948453608
2020,5.05208,5.05208,4.71149,5.05208,5.05208,5.05208,5.05208,5.05208,5.05208,5.05208,5.05208,5.05208,5.05208,5.05208,5.05208,5.05208,5.05208,5.05208,5.05208,5.05208,5.33591,5.44944,5.44944,5.44944,6.09277,6.6415,6.6415,6.96317,7.247,7.43621,7.5119,7.56866,7.43621,7.53082,7.72004,7.79572,7.70112,7.83357,7.83357,7.83357,7.83357,7.83357,7.83357,7.83357,8.17416,7.92818,7.83357,7.83357,7.96602,7.83357,7.83357,8.04171,7.83357,8.00386,7.83357,7.83357,7.83357,7.83357,7.83357,7.83357,7.83357,7.83357,7.83357,7.49298,7.64435,7.73896,7.43621,7.247,7.20915,7.03886,7.03886,6.94425,6.6415,6.6415,6.6415,6.6415,6.35768,6.24415,6.24415,6.24415,6.13062,5.84679,5.84679,5.84679,5.84679,5.84679,5.65758,5.44944,5.44944,5.44944,5.44944,5.44944,5.41159,5.05208,5.05208,5.05208,5,6.521388556701038
2020,5.05208,5.05208,5.05208,5.05208,5.05208,5.05208,5.05208,5.05208,5.05208,5.05208,5.05208,5.05208,5.05208,5.05208,5.05208,5.05208,5.05208,5.05208,5.05208,5.05208,5.05208,5.43052,5.44944,5.44944,6.22523,6.6415,6.6415,7.00101,7.03886,7.45513,7.49298,7.49298,7.85249,7.7768,7.75788,7.89033,7.85249,7.85249,7.89033,7.81465,7.58759,7.89033,7.72004,7.72004,7.89033,7.89033,8.00386,7.89033,7.89033,7.89033,7.89033,7.89033,7.92818,8.17416,8.17416,8.32553,8.17416,8.17416,8.17416,8.24984,8.17416,8.17416,8.17416,7.92818,8.11739,8.13631,7.85249,7.7768,7.39837,7.37945,7.19023,6.98209,6.98209,6.98209,6.98209,6.71719,6.58474,6.58474,6.2063,6.18738,6.18738,6.18738,6.14954,5.79003,5.79003,5.79003,5.79003,5.79003,5.43052,5.39267,5.39267,5.39267,5.18454,4.99532,4.99532,4.99532,6,6.622599381443297
2020,4.99532,4.99532,4.99532,4.99532,4.99532,4.99532,4.99532,4.99532,4.99532,4.99532,4.99532,4.99532,4.99532,4.99532,4.99532,4.99532,4.99532,4.99532,4.99532,4.99532,5.31699,5.39267,5.39267,5.58189,6.1117,6.47121,6.54689,6.67935,6.96317,7.20915,7.15239,7.37945,7.37945,7.37945,7.73896,7.75788,7.5119,7.58759,7.72004,7.62543,7.81465,7.70112,7.83357,7.83357,7.83357,8.06063,8.00386,8.23092,7.3416,8.00386,8.17416,8.23092,8.212,8.32553,8.36337,8.32553,8.36337,8.00386,8.00386,8.00386,8.00386,8.00386,8.00386,7.72004,7.66327,7.60651,7.60651,7.53082,7.20915,7.20915,7.20915,6.96317,6.8118,6.8118,6.8118,6.8118,6.71719,6.41444,6.41444,6.41444,6.26307,6.01709,6.01709,6.01709,5.84679,5.6765,5.86571,5.61973,5.61973,5.61973,5.61973,5.61973,5.2413,5.22238,5.22238,5.03316,7,6.586873298969074
2020,5.22238,5.22238,5.22238,5.22238,5.22238,5.22238,5.22238,5.22238,5.14669,4.82502,5.20346,5.12777,4.82502,5.18454,5.22238,5.22238,5.22238,5.22238,5.22238,5.22238,5.33591,5.22238,5.44944,5.61973,6.18738,6.69827,6.66042,6.8118,7.05778,7.20915,7.20915,7.56866,7.60651,7.60651,7.60651,7.60651,7.60651,7.83357,8.00386,7.68219,7.70112,8.00386,8.00386,7.9471,8.00386,8.00386,8.00386,8.00386,7.81465,7.85249,8.00386,7.72004,8.00386,8.00386,8.11739,8.40122,8.40122,8.30661,8.00386,8.00386,7.90925,7.73896,7.66327,7.56866,7.62543,7.72004,7.72004,7.70112,7.22807,7.15239,7.32268,7.05778,7.00101,6.75503,6.52797,6.52797,6.52797,6.35768,6.13062,6.13062,6.13062,6.13062,6.13062,6.13062,5.80895,5.82787,5.61973,5.61973,5.31699,5.22238,5.22238,5.39267,5.31699,5.43052,5.16561,5.16561,8,6.621761134020617
2020,5.16561,5.16561,4.84395,5.05208,5.16561,5.16561,5.16561,5.16561,4.8061,5.12777,4.76826,4.76826,4.76826,4.76826,4.88179,4.76826,4.76826,4.76826,5.07101,5.16561,5.16561,5.16561,5.2413,5.56297,5.96032,6.35768,6.35768,6.6415,6.98209,7.15239,7.15239,7.15239,7.37945,7.54974,7.60651,7.70112,7.9471,7.9471,7.9471,7.9471,7.70112,6.98209,7.56866,7.83357,7.83357,7.83357,7.83357,7.83357,7.83357,7.83357,7.58759,7.5119,7.83357,7.83357,7.87141,7.81465,7.89033,7.85249,7.7768,7.7768,7.85249,7.92818,7.62543,7.37945,7.60651,7.7768,7.68219,7.37945,7.15239,6.98209,6.98209,7.00101,6.62258,6.58474,6.58474,6.58474,6.3766,6.18738,6.18738,6.18738,6.13062,5.79003,5.79003,5.79003,5.56297,5.39267,5.39267,5.39267,5.39267,5.39267,5.39267,5.39267,5.39267,5.03316,4.99532,4.99532,9,6.47386979381443
