Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality_Y
66161,2012,8,31,17.7,1.0,True
66161,2012,9,1,16.4,1.0,True
66161,2012,9,2,20.4,1.0,True
66161,2012,9,3,22.0,1.0,True
66161,2012,9,4,24.8,1.0,True
66161,2012,9,5,27.5,1.0,True
66161,2012,9,6,26.8,1.0,True
66161,2012,9,7,20.9,1.0,True
66161,2012,9,8,20.4,1.0,True
66161,2012,9,9,21.0,1.0,True
66161,2012,9,10,25.4,1.0,True
66161,2012,9,11,22.1,1.0,True
66161,2012,9,12,23.8,1.0,True
66161,2012,9,13,20.9,1.0,True
66161,2012,9,14,19.6,1.0,True
66161,2012,9,15,19.4,1.0,True
66161,2012,9,16,22.2,1.0,True
66161,2012,9,17,21.0,1.0,True
66161,2012,9,18,22.6,1.0,True
66161,2012,9,19,22.2,1.0,True
66161,2012,9,20,23.3,1.0,True
66161,2012,9,21,26.5,1.0,True
66161,2012,9,22,22.5,1.0,True
66161,2012,9,23,28.3,1.0,True
66161,2012,9,24,23.3,1.0,True
66161,2012,9,25,19.5,1.0,True
66161,2012,9,26,23.5,1.0,True
66161,2012,9,27,28.2,1.0,True
66161,2012,9,28,33.4,1.0,True
66161,2012,9,29,22.5,1.0,True
66161,2012,9,30,20.5,1.0,True
66161,2012,10,1,21.8,1.0,True
66161,2012,10,2,21.6,1.0,True
66161,2012,10,3,30.1,1.0,True
66161,2012,10,4,32.0,1.0,True
66161,2012,10,5,34.5,1.0,True
66161,2012,10,6,17.1,1.0,True
66161,2012,10,7,20.7,1.0,True
66161,2012,10,8,18.3,1.0,True
66161,2012,10,9,18.5,1.0,True
66161,2012,10,10,24.4,1.0,True
66161,2012,10,11,20.2,1.0,True
66161,2012,10,12,16.2,1.0,True
66161,2012,10,13,19.3,1.0,True
66161,2012,10,14,20.5,1.0,True
66161,2012,10,15,28.6,1.0,True
66161,2012,10,16,32.6,1.0,True
66161,2012,10,17,22.0,1.0,True
66161,2012,10,18,22.9,1.0,True
66161,2012,10,19,30.7,1.0,True
66161,2012,10,20,34.3,1.0,True
66161,2012,10,21,28.1,1.0,True
66161,2012,10,22,18.5,1.0,True
66161,2012,10,23,19.6,1.0,True
66161,2012,10,24,26.8,1.0,True
66161,2012,10,25,32.5,1.0,True
66161,2012,10,26,23.2,1.0,True
66161,2012,10,27,20.8,1.0,True
66161,2012,10,28,20.4,1.0,True
66161,2012,10,29,23.8,1.0,True
66161,2012,10,30,27.0,1.0,True
66161,2012,10,31,30.8,1.0,True
66161,2012,11,1,32.7,1.0,True
66161,2012,11,2,20.7,1.0,True
66161,2012,11,3,18.1,1.0,True
66161,2012,11,4,24.8,1.0,True
66161,2012,11,5,31.3,1.0,True
66161,2012,11,6,31.0,1.0,True
66161,2012,11,7,26.7,1.0,True
66161,2012,11,8,27.9,1.0,True
66161,2012,11,9,27.3,1.0,True
66161,2012,11,10,20.7,1.0,True
66161,2012,11,11,21.6,1.0,True
66161,2012,11,12,26.8,1.0,True
66161,2012,11,13,22.5,1.0,True
66161,2012,11,14,19.9,1.0,True
66161,2012,11,15,29.1,1.0,True
66161,2012,11,16,17.8,1.0,True
66161,2012,11,17,21.5,1.0,True
66161,2012,11,18,25.4,1.0,True
66161,2012,11,19,20.4,1.0,True
66161,2012,11,20,22.2,1.0,True
66161,2012,11,21,27.9,1.0,True
66161,2012,11,22,19.7,1.0,True
66161,2012,11,23,22.9,1.0,True
66161,2012,11,24,27.9,1.0,True
66161,2012,11,25,36.0,1.0,True
66161,2012,11,26,28.7,1.0,True
66161,2012,11,27,24.5,1.0,True
66161,2012,11,28,23.2,1.0,True
66161,2012,11,29,30.1,1.0,True
66161,2012,11,30,38.3,1.0,True
66161,2012,12,1,37.4,1.0,True
66161,2012,12,2,24.6,1.0,True
66161,2012,12,3,22.8,1.0,True
66161,2012,12,4,29.7,1.0,True
66161,2012,12,5,25.7,1.0,True
66161,2012,12,6,22.6,1.0,True
66161,2012,12,7,23.6,1.0,True
66161,2012,12,8,29.1,1.0,True
66161,2012,12,9,26.4,1.0,True
66161,2012,12,10,19.9,1.0,True
66161,2012,12,11,22.3,1.0,True
66161,2012,12,12,26.5,1.0,True
66161,2012,12,13,28.9,1.0,True
66161,2012,12,14,29.7,1.0,True
66161,2012,12,15,28.2,1.0,True
66161,2012,12,16,36.1,1.0,True
66161,2012,12,17,22.3,1.0,True
66161,2012,12,18,30.6,1.0,True
66161,2012,12,19,29.0,1.0,True
66161,2012,12,20,35.0,1.0,True
66161,2012,12,21,24.5,1.0,True
66161,2012,12,22,28.4,1.0,True
66161,2012,12,23,33.9,1.0,True
66161,2012,12,24,36.2,1.0,True
66161,2012,12,25,19.9,1.0,True
66161,2012,12,26,22.7,1.0,True
66161,2012,12,27,25.7,1.0,True
66161,2012,12,28,30.9,1.0,True
66161,2012,12,29,25.9,1.0,True
66161,2012,12,30,23.7,1.0,True
66161,2012,12,31,32.3,1.0,True
66161,2013,1,1,32.7,1.0,True
66161,2013,1,2,24.7,1.0,True
66161,2013,1,3,26.8,1.0,True
66161,2013,1,4,32.2,1.0,True
66161,2013,1,5,35.2,1.0,True
66161,2013,1,6,31.5,1.0,True
66161,2013,1,7,29.7,1.0,True
66161,2013,1,8,42.1,1.0,True
66161,2013,1,9,24.4,1.0,True
66161,2013,1,10,26.2,1.0,True
66161,2013,1,11,34.6,1.0,True
66161,2013,1,12,34.9,1.0,True
66161,2013,1,13,24.8,1.0,True
66161,2013,1,14,23.3,1.0,True
66161,2013,1,15,26.0,1.0,True
66161,2013,1,16,31.7,1.0,True
66161,2013,1,17,31.4,1.0,True
66161,2013,1,18,45.8,1.0,True
66161,2013,1,19,25.1,1.0,True
66161,2013,1,20,24.8,1.0,True
66161,2013,1,21,28.4,1.0,True
66161,2013,1,22,34.5,1.0,True
66161,2013,1,23,26.6,1.0,True
66161,2013,1,24,30.3,1.0,True
66161,2013,1,25,32.6,1.0,True
66161,2013,1,26,31.3,1.0,True
66161,2013,1,27,22.4,1.0,True
66161,2013,1,28,22.4,1.0,True
66161,2013,1,29,26.2,1.0,True
66161,2013,1,30,26.9,1.0,True
66161,2013,1,31,31.5,1.0,True
66161,2013,2,1,24.3,1.0,True
66161,2013,2,2,21.1,1.0,True
66161,2013,2,3,24.1,1.0,True
66161,2013,2,4,25.3,1.0,True
66161,2013,2,5,26.3,1.0,True
66161,2013,2,6,27.5,1.0,True
66161,2013,2,7,30.2,1.0,True
66161,2013,2,8,33.6,1.0,True
66161,2013,2,9,32.2,1.0,True
66161,2013,2,10,31.5,1.0,True
66161,2013,2,11,22.1,1.0,True
66161,2013,2,12,23.6,1.0,True
66161,2013,2,13,25.4,1.0,True
66161,2013,2,14,27.0,1.0,True
66161,2013,2,15,25.8,1.0,True
66161,2013,2,16,25.6,1.0,True
66161,2013,2,17,25.8,1.0,True
66161,2013,2,18,27.4,1.0,True
66161,2013,2,19,29.4,1.0,True
66161,2013,2,20,28.9,1.0,True
66161,2013,2,21,27.8,1.0,True
66161,2013,2,22,25.8,1.0,True
66161,2013,2,23,23.9,1.0,True
66161,2013,2,24,29.7,1.0,True
66161,2013,2,25,30.9,1.0,True
66161,2013,2,26,29.2,1.0,True
66161,2013,2,27,30.7,1.0,True
66161,2013,2,28,27.7,1.0,True
66161,2013,3,1,19.1,1.0,True
66161,2013,3,2,20.8,1.0,True
66161,2013,3,3,25.1,1.0,True
66161,2013,3,4,25.9,1.0,True
66161,2013,3,5,27.4,1.0,True
66161,2013,3,6,27.8,1.0,True
66161,2013,3,7,29.4,1.0,True
66161,2013,3,8,26.8,1.0,True
66161,2013,3,9,29.2,1.0,True
66161,2013,3,10,29.4,1.0,True
66161,2013,3,11,28.1,1.0,True
66161,2013,3,12,27.7,1.0,True
66161,2013,3,13,30.1,1.0,True
66161,2013,3,14,26.2,1.0,True
66161,2013,3,15,24.9,1.0,True
66161,2013,3,16,30.7,1.0,True
66161,2013,3,17,23.9,1.0,True
66161,2013,3,18,23.4,1.0,True
66161,2013,3,19,24.7,1.0,True
66161,2013,3,20,26.2,1.0,True
66161,2013,3,21,29.5,1.0,True
66161,2013,3,22,32.1,1.0,True
66161,2013,3,23,31.4,1.0,True
66161,2013,3,24,32.4,1.0,True
66161,2013,3,25,29.1,1.0,True
66161,2013,3,26,28.3,1.0,True
66161,2013,3,27,32.3,1.0,True
66161,2013,3,28,32.2,1.0,True
66161,2013,3,29,21.9,1.0,True
66161,2013,3,30,26.0,1.0,True
66161,2013,3,31,25.9,1.0,True
66161,2013,4,1,25.2,1.0,True
66161,2013,4,2,26.7,1.0,True
66161,2013,4,3,19.6,1.0,True
66161,2013,4,4,20.1,1.0,True
66161,2013,4,5,23.1,1.0,True
66161,2013,4,6,21.3,1.0,True
66161,2013,4,7,24.5,1.0,True
66161,2013,4,8,23.9,1.0,True
66161,2013,4,9,23.9,1.0,True
66161,2013,4,10,25.5,1.0,True
66161,2013,4,11,27.0,1.0,True
66161,2013,4,12,25.7,1.0,True
66161,2013,4,13,26.3,1.0,True
66161,2013,4,14,29.5,1.0,True
66161,2013,4,15,26.9,1.0,True
66161,2013,4,16,21.0,1.0,True
66161,2013,4,17,22.0,1.0,True
66161,2013,4,18,24.0,1.0,True
66161,2013,4,19,19.7,1.0,True
66161,2013,4,20,18.6,1.0,True
66161,2013,4,21,20.8,1.0,True
66161,2013,4,22,23.9,1.0,True
66161,2013,4,23,24.2,1.0,True
66161,2013,4,24,23.0,1.0,True
66161,2013,4,25,22.0,1.0,True
66161,2013,4,26,26.2,1.0,True
66161,2013,4,27,25.6,1.0,True
66161,2013,4,28,28.0,1.0,True
66161,2013,4,29,26.5,1.0,True
66161,2013,4,30,21.7,1.0,True
66161,2013,5,1,25.7,1.0,True
66161,2013,5,2,19.2,1.0,True
66161,2013,5,3,21.8,1.0,True
66161,2013,5,4,25.6,1.0,True
66161,2013,5,5,19.0,1.0,True
66161,2013,5,6,19.8,1.0,True
66161,2013,5,7,20.1,1.0,True
66161,2013,5,8,22.4,1.0,True
66161,2013,5,9,23.8,1.0,True
66161,2013,5,10,23.7,1.0,True
66161,2013,5,11,23.5,1.0,True
66161,2013,5,12,22.7,1.0,True
66161,2013,5,13,19.3,1.0,True
66161,2013,5,14,19.7,1.0,True
66161,2013,5,15,19.9,1.0,True
66161,2013,5,16,21.0,1.0,True
66161,2013,5,17,18.3,1.0,True
66161,2013,5,18,19.3,1.0,True
66161,2013,5,19,19.0,1.0,True
66161,2013,5,20,20.0,1.0,True
66161,2013,5,21,22.2,1.0,True
66161,2013,5,22,16.0,1.0,True
66161,2013,5,23,16.1,1.0,True
66161,2013,5,24,17.2,1.0,True
66161,2013,5,25,20.6,1.0,True
66161,2013,5,26,20.2,1.0,True
66161,2013,5,27,19.3,1.0,True
66161,2013,5,28,19.6,1.0,True
66161,2013,5,29,19.2,1.0,True
66161,2013,5,30,21.5,1.0,True
66161,2013,5,31,23.1,1.0,True
66161,2013,6,1,21.3,1.0,True
66161,2013,6,2,15.1,1.0,True
66161,2013,6,3,18.6,1.0,True
66161,2013,6,4,20.2,1.0,True
66161,2013,6,5,18.5,1.0,True
66161,2013,6,6,18.1,1.0,True
